args0,cores,date,host,host-id,mean-runtime,platform,spec-name
39,1,1459862701,cores1n2,4521220656430187166,8736039.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,4,1459873170,cores4n8,756917181399063478,9840273.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459873170,cores4n8,756917181399063478,4602723.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,1,,cores1n45,1263117551549706098,574000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n45,1263117551549706098,568000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,2,1459851780,cores2n4,7625178304180268970,8451650.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,2,1459851780,cores2n4,7625178304180268970,8457284.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,4,,cores4n12,1139160642153770423,302000.0,Intel Sandy Bridge,fib.fj_java
,4,,cores4n12,1139160642153770423,570000.0,Intel Sandy Bridge,fib.serial_java
39,4,1459840251,cores4n4,5090470875903220265,2769054.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,4,1459840251,cores4n4,5090470875903220265,6111742.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,1,,cores1n20,8270275593106229139,553000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n20,8270275593106229139,554000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,6,1459855386,cores6n5,7030429400741847309,8791207.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,6,1459855386,cores6n5,7030429400741847309,3044927.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,1,1459836991,cores1n22,6668164272422316300,4973311.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
,1,,cores1n44,5669397849967600847,555000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n44,5669397849967600847,583000.0,Intel Sandy Bridge,fib.serial_java
39,4,1459840251,cores4n10,4244555647954115113,2644031.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,4,1459840251,cores4n10,4244555647954115113,6103308.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459821894,cores1n48,1961030229408261116,5006867.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n24,2965323128016654450,8688626.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n24,2965323128016654450,8476847.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,6,,cores6n3,7333079687208302006,213000.0,Intel Sandy Bridge,fib.fj_java
,6,,cores6n3,7333079687208302006,581000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,6,1459881157,cores6n6,4866223327639353955,9579056.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,6,1459881157,cores6n6,4866223327639353955,3089933.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,1,1459836991,cores1n5,7711872803165628684,4897130.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459836991,cores1n5,7711872803165628684,7326706.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,4,1459853884,cores4n6,2050240398112990444,10052690.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459853884,cores4n6,2050240398112990444,5158857.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,4,1459873170,cores4n1,3346755509967281078,8555824.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459873170,cores4n1,3346755509967281078,4495958.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,2,,cores2n3,8816974751784135795,539000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n3,8816974751784135795,604000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,1,1459875744,cores1n35,6495030030436815244,8583753.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459875744,cores1n35,6495030030436815244,9111001.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,2,1459844945,cores2n10,7418591438099630584,9463719.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,2,1459844945,cores2n10,7418591438099630584,9067354.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,1,1459836991,cores1n37,1600544192506816780,2607262.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459836991,cores1n37,1600544192506816780,5101716.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,4,1459846962,cores4n8,7259673327410528273,8827348.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459846962,cores4n8,7259673327410528273,4524416.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,2,1459844945,cores2n12,1871836544787991032,10052413.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,2,1459844945,cores2n12,1871836544787991032,9678090.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,4,1459879795,cores4n1,5743020328224702892,4380272.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,2,1459829670,cores2n8,1813701125894735262,5446541.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459829670,cores2n8,1813701125894735262,6314207.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,4,1459853884,cores4n8,6477896323561301228,8257845.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459853884,cores4n8,6477896323561301228,4597927.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n6,5161024737466306674,8578363.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n6,5161024737466306674,9097336.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,1,,cores1n39,1910268436138612079,552000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n39,1910268436138612079,632000.0,Intel Sandy Bridge,fib.serial_java
,2,,cores2n9,2446381183331640823,554000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n9,2446381183331640823,626000.0,Intel Sandy Bridge,fib.serial_java
